source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
5,2,detail,Seraohin Degeneve s/Nº,0100010170020000--073--,0100010170020000--073--,17,2,0,73,-58.14773675,-32.24840190,automatic,missing_address_point,Periurbana,2025-01-27,Vivienda unifamiliar,vivienda,1,,,,"152,25",,,
6,3,detail,Calle Privada s/Nº - Los Bretes,0100010052740000--001--,0100010052740000--001--,5,274,0,1,-58.18882350,-32.21699615,automatic,missing_address_point,Urbana,2025-01-27,Piscina - Quincho,piscina - quincho,,1,,,,,"65,66",
7,4,detail,"E. Gouchón Nº 252, 529 (antes 513)",0100010000000091--007--,0100010000000091--007--,0,0,91,7,-58.14014349,-32.21888242,admin_override,verified_close,Centro,2025-01-27,Vivienda multifamiliar + Local comercial,vivienda,2,,1,,"84,06",,,
8,5,detail,Tucumán Nº  1092 y 1096,0100011020410394--005--,0100011020410394--005--,102,41,394,5,-58.14846875,-32.23443425,automatic,verified_close,Urbana,2025-01-27,Vivienda multifamiliar,vivienda,3,,,,"148,73",,,
9,6,detail,Bvard Gaillard esq. Lavalle,0100010000000751--003--,0100010000000751--003--,0,0,751,3,-58.14248410,-32.21525920,automatic,missing_address_point,Urbana,2025-01-27,"Moviviemnto de suelo, pluviales","moviviemnto de suelo, pluviales",,1,,,,,,
10,7,detail,Calle Pública s/Nº,0100010162230006--001--,0100010162230006--001--,16,223,6,1,-58.18218320,-32.25838220,automatic,missing_address_point,PeriUrbana,2025-01-29,Vivienda multifamiliar,vivienda,2,,,,"154,86",,,
11,8,detail,Cabo Pereyra N° 155 y 157 esq Gouchón,0100010000000282--012--,0100010000000282--012--,0,0,282,12,-58.15838285,-32.23180250,automatic,verified_close,Urbana,2025-01-29,Local comercial,comercial,,2,,,,,,"138,4"
12,9,detail,Rocamora Nº 1177 e/Piamonte y Penon,0100011010340351--001--,0100011010340351--001--,101,34,351,1,-58.15877835,-32.22650505,automatic,missing_address_point,Urbana,2025-01-29,Vivienda unifamiliar,vivienda,,1,,,,,"63,69",
13,10,detail,San Martín Nº 859,0100010000000508--017--,0100010000000508--017--,0,0,508,17,-58.14877915,-32.22734155,automatic,verified_close,Urbana,2025-01-29,Local comercial,comercial,,,1,,,,,"220,26"
14,11,detail,Paso de los Andes s/Nº esq. Salsipuedes,0100010123270001--003--,0100010123270001--003--,12,327,1,3,-58.16032540,-32.22901710,automatic,missing_address_point,Urbana,2025-01-29,Vivienda multifamiliar,vivienda,2,,,,"146,2",,,
15,12,detail,9 de Julio N° 309,0100010000000123--021--,0100010000000123--021--,0,0,123,21,-58.14482535,-32.21824400,automatic,verified_close,URBANA,2025-01-29,Quincho,quincho,,1,,,,,"104,22",
